"","Site","Time","NN","Phosphate","Salinity","Silicate","TA","Temp_in","pH","percent_sgd"
"1","BP","Day",2.86067567567568,0.198513513513514,33.9939392404054,17.3317567567568,2264.11387918919,26.4442092167568,8.13474324324324,2.18284090132432
"2","BP","Night",2.74101265822785,0.200632911392405,34.0947881449367,14.9143037974684,2278.51265320253,25.2302857789873,7.98528762736709,1.87837579310127
"3","W","Day",0.659047619047619,0.135357142857143,34.0371747865476,14.6532142857143,2247.38059380952,25.7110420452381,8.07028571428571,1.8931801402619
"4","W","Night",0.759382716049383,0.134320987654321,33.9975828028395,15.5540740740741,2258.79036898765,24.8248370564198,7.95514814814815,2.00957029375309
